Date,Usage,Notifications,Times opened,App
08/26/2023,38,70,49,Instagram
08/27/2023,39,43,48,Instagram
08/28/2023,64,231,55,Instagram
08/29/2023,14,35,23,Instagram
08/30/2023,3,19,5,Instagram
08/31/2023,19,25,20,Instagram
09/01/2023,44,23,57,Instagram
09/02/2023,16,28,22,Instagram
09/03/2023,27,15,25,Instagram
09/04/2023,72,29,30,Instagram
09/05/2023,42,24,51,Instagram
09/06/2023,19,34,25,Instagram
09/07/2023,38,23,19,Instagram
09/08/2023,71,48,43,Instagram
09/09/2023,43,68,70,Instagram
09/10/2023,45,71,70,Instagram
09/11/2023,94,180,95,Instagram
09/12/2023,114,99,102,Instagram
09/13/2023,17,45,39,Instagram
09/14/2023,1,10,2,Instagram
09/15/2023,2,15,4,Instagram
09/16/2023,3,13,5,Instagram
09/17/2023,2,9,3,Instagram
09/18/2023,3,8,5,Instagram
09/19/2023,4,8,3,Instagram
09/20/2023,5,11,5,Instagram
09/21/2023,2,12,8,Instagram
08/26/2023,82,209,105,Whatsapp
08/27/2023,69,111,68,Whatsapp
08/28/2023,130,183,86,Whatsapp
08/29/2023,59,157,74,Whatsapp
08/30/2023,128,246,87,Whatsapp
08/31/2023,108,169,77,Whatsapp
09/01/2023,23,99,47,Whatsapp
09/02/2023,76,144,103,Whatsapp
09/03/2023,1,80,16,Whatsapp
09/04/2023,6,38,33,Whatsapp
09/05/2023,126,218,121,Whatsapp
09/06/2023,91,205,110,Whatsapp
09/07/2023,160,212,83,Whatsapp
09/08/2023,69,217,82,Whatsapp
09/09/2023,119,405,192,Whatsapp
09/10/2023,103,166,79,Whatsapp
09/11/2023,203,173,92,Whatsapp
09/12/2023,182,290,172,Whatsapp
09/13/2023,71,153,91,Whatsapp
09/14/2023,64,192,67,Whatsapp
09/15/2023,50,181,58,Whatsapp
09/16/2023,71,176,91,Whatsapp
09/17/2023,212,212,120,Whatsapp
09/18/2023,244,303,132,Whatsapp
09/19/2023,77,169,105,Whatsapp
09/20/2023,58,190,78,Whatsapp
09/21/2023,89,262,68,Whatsapp
